C,DBE 1,DBE,H,KMD,N,O,S,class,intensity 1,intensity,isotope kind,m/z,ppm,s/n,theo
31,11,11,41,0.346653939,,9,,O9,7104648,7104648,,557.27587,-0.475563792,10.2,557.275605
24,17,17,16,0.570584873,1,15,,N1O15,9312119,9312119,,558.05263,-0.158444041,14,558.0525416
25,16,16,20,0.534240102,1,14,,N1O14,12173127,12173127,,558.08933,-0.722143158,18.9,558.088927
26,15,15,24,0.49789533,1,13,,N1O13,5539094,5539094,,558.12606,-1.339520146,7.5,558.1253124
27,14,14,28,0.461550558,1,12,,N1O12,5671654,5671654,,558.16212,-0.756447641,7.7,558.1616978
23,18,18,11,0.624012806,,17,,O17,6131988,6131988,,559.00045,-0.497710223,8.5,559.0001718
24,17,17,15,0.587668034,,16,,O16,37013605,37013605,,559.03662,-0.112372078,61.9,559.0365572
21,12,12,19,0.566562427,,18,,O18,6657096,6657096,,559.05829,-1.079709866,9.4,559.0576864
25,16,16,19,0.551323262,,15,,O15,62754869,62754869,,559.07294,0.004614604,106.5,559.0729426
22,11,11,23,0.530217655,,17,,O17,6082585,6082585,,559.09467,-1.069981118,8.4,559.0940718
26,15,15,23,0.514978491,,14,,O14,52109317,52109317,,559.1093,0.050043701,88.1,559.109328
23,10,10,27,0.493872884,,16,,O16,6807786,6807786,,559.13069,-0.41639674,9.7,559.1304572
27,14,14,27,0.478633719,,13,,O13,51300310,51300310,,559.14572,-0.011839669,86.7,559.1457134
24,9,9,31,0.457528112,,15,,O15,6663098,6663098,,559.16728,-0.78227117,9.4,559.1668426
28,13,13,31,0.442288947,,12,,O12,57548710,57548710,,559.18206,0.069351111,97.5,559.1820988
25,8,8,35,0.42118334,,14,,O14,6073739,6073739,,559.20281,0.747456165,8.4,559.203228
29,12,12,35,0.405944175,,11,,O11,54019959,54019959,,559.21846,0.043238735,91.4,559.2184842
30,11,11,39,0.369599404,,10,,O10,30107463,30107463,,559.25482,0.088653497,50,559.2548696
24,16,16,18,0.557185566,1,15,,N1O15,7450668,7450668,,560.06787,0.574179903,10.8,560.0681916
25,15,15,22,0.520840794,1,14,,N1O14,6922493,6922493,,560.10451,0.119584632,9.9,560.104577
26,14,14,26,0.484496023,1,13,,N1O13,6612431,6612431,,560.14084,0.21848054,9.3,560.1409624
23,17,17,13,0.610613499,,17,,O17,14342777,14342777,,561.01606,-0.424622784,22.7,561.0158218
27,21,21,13,0.595374334,,14,,O14,5599078,5599078,,561.03142,-0.609627725,7.6,561.031078
24,16,16,17,0.574268727,,16,,O16,52422219,52422219,,561.0525,-0.521912393,88.6,561.0522072
28,20,20,17,0.559029562,,13,,O13,8599352,8599352,,561.06793,-0.831664872,12.8,561.0674634
25,15,15,21,0.537923955,,15,,O15,58949149,58949149,,561.0889,-0.547899394,99.9,561.0885926
